Sector;region;substance;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Forest Land;Europe;CO2;-705,8688292;-832,9880344;-825,4450611;-836,5084101;-788,0240846;-749,4952559;-770,5650464;-726,608515;-723,0516884;-707,5282975;-636,2246019;-687,1724801;-676,3751086;-646,0546076;-621,7669325;-569,2915888;-611,9821412;-538,454998;-613,1687874;-699,9057012;-598,2495493;-584,8375085;-592,535546;-589,2933662;-568,7974023;-562,4619648;-547,9891211;-546,2689405;-487,7007721;-459,0242461;-485,7778574
Forest Land;Latin America and Caribbean;CO2;-1613,326386;-1561,340673;-1598,826409;-1576,957726;-1499,101854;-1425,13444;-1403,129516;-1359,126567;-1312,275256;-1222,168132;-1169,995407;-1219,287226;-1157,058856;-1005,517753;-964,914733;-1046,567596;-1078,562962;-1035,619248;-1259,025467;-1285,840361;-1241,850632;-1103,849029;-1004,107449;-1030,491671;-1024,789245;-1098,02739;-1038,94508;-1006,930914;-920,7601115;-1024,341367;-1036,561885
Forest Land;Middle East;CO2;-11,28630722;-10,11176054;-10,15107849;-9,764693862;-9,580297393;-9,416486518;-9,376816878;-8,929689824;-9,182697427;-9,373520895;-9,288500989;-9,236905157;-10,1889817;-9,480521891;-9,388666346;-9,540813622;-9,363050253;-9,058358418;-8,827301383;-8,725289248;-8,842874751;-8,816515405;-8,447732723;-8,280354906;-8,08247113;-8,57804547;-8,830866437;-8,670073572;-8,551587541;-8,411267825;-8,330906393
Forest Land;North America;CO2;-1731,452819;-1766,248962;-1763,587262;-1776,345204;-1757,630476;-1752,965386;-1769,222151;-1761,215132;-1772,568562;-1741,925316;-1734,720301;-1814,709016;-1798,521837;-1836,390714;-1758,429148;-1762,220075;-1823,872519;-1928,960557;-2168,373895;-2315,833043;-2172,279974;-2115,640615;-2128,88787;-2099,215493;-2091,871597;-2087,204012;-2155,993262;-2152,790922;-2099,014066;-2057,19902;-2139,536956
Forest Land;South-East Asia and developing Pacific;CO2;262,6993618;255,0081418;243,629832;156,9904239;87,19452278;47,54602431;14,95899084;4,353032641;-8,21719248;9,379659323;-13,18354544;-108,3109517;-56,24100753;-18,03723627;-15,42512968;-45,3763289;-101,9524342;-82,93573283;-146,0987789;-253,9803818;-175,7691961;-115,1608309;-119,3628317;-31,45873855;-36,99217533;-211,3475367;-162,990353;-179,6937384;-171,2759533;-97,7250102;-111,507478
Forest Land;Southern Asia;CO2;936,5044491;976,5694153;989,362497;1003,93667;1013,116963;1020,747997;994,8112189;989,4925955;1000,031607;1011,126492;1011,520492;1022,612447;1110,654328;1119,033802;1114,042111;1118,562183;1120,708747;1132,883018;1134,079084;1135,796733;1138,281286;1135,542308;1130,632677;1125,614731;1121,315135;1106,294422;1104,600644;1096,512165;1090,407998;1083,614544;1076,415355
Organic Soil;Asia-Pacific Developed;CO2;3,304838949;3,332809572;3,291663324;3,229554653;3,293049994;3,233068598;3,338961668;3,210209063;3,280269744;3,440336869;3,348372228;3,368839822;3,158035931;3,122313549;3,271124297;3,192792796;3,318155625;3,170159796;3,253333204;3,240525965;3,392963229;3,581771391;3,276996905;3,125044465;3,258000087;3,069615391;3,060935938;3,306199235;3,204532383;3,042536968;3,042536968
Organic Soil;Eurasia;CO2;161,4180717;160,2794107;158,7681472;157,8481833;156,4208204;155,2176877;153,5831606;152,0089024;150,717515;149,2068287;147,6991578;146,1869259;144,6744449;143,1500837;141,8886867;140,5931267;139,2795837;139,1706654;137,9487055;137,674554;138,0228317;137,135838;137,1361616;136,7302369;137,0851544;133,5299848;132,7968452;132,7032994;133,4412661;133,398489;133,398489
Organic Soil;Europe;CO2;132,1044051;132,0751232;131,1451749;130,5564141;129,76863;129,328677;128,8452169;127,9582959;126,8939899;126,3860806;126,6896447;126,0925045;125,7572429;124,9158709;124,2893588;124,1364306;123,8126047;122,6814909;122,2198858;121,1648804;120,6150249;119,7198757;119,0167961;117,9973832;117,6054423;117,0623849;116,7438032;116,7169081;116,1806883;115,9116607;115,9116607
Organic Soil;North America;CO2;45,84503618;45,126319;45,36845823;45,67079013;45,96708719;46,00821935;45,93752698;45,89877449;45,98945154;40,38859614;40,07419593;46,46448888;46,44883265;46,07810854;45,90180682;45,61165888;45,41472763;44,59912952;44,43495771;44,19940596;44,38077182;44,47144593;44,55546735;43,75200662;43,36943687;46,00160123;46,5001944;47,29081055;45,11961137;44,19942532;44,19942532
Organic Soil;South-East Asia and developing Pacific;CO2;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;445,6622;647,5958;647,5958;647,5958;647,5958;647,5958;771,3796;771,3796;771,3796;771,3796;771,3796;617,1036;617,1036;617,1036;617,1036;617,1036
Other;Africa;CO2;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,25707;37,84576;37,84576;37,84576;37,84576;37,84576;35,79412;35,79412;35,79412;35,79412;35,79412;35,79412;35,79412;35,79412;35,79412;35,79412
Other;Asia-Pacific Developed;CO2;4,301937597;-3,758895345;-22,50598431;-27,943761;-19,53430022;-36,52222284;-27,49474992;-27,22066958;-40,6272807;-43,7819402;-41,26712854;-43,80865672;-53,02487087;-38,65156548;-41,11092021;-29,87004976;-23,84543346;-9,051572519;-4,342659102;12,80930853;-0,66199661;11,31127524;3,813951347;-11,19178554;-15,65393142;-24,90190952;-45,21694834;-61,7208518;-66,85794249;-70,13694889;-57,90146401
Other;Eastern Asia;CO2;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-117,7808;-136,806704;-136,806704;-136,806704;-136,806704;-136,806704;-196,97356;-196,97356;-196,97356;-196,97356;-196,97356;-196,97356;-196,97356;-196,97356;-196,97356;-196,97356
Other;Eurasia;CO2;-60,30702871;-2,625968031;15,96903104;33,55608372;-3,389746175;-22,45251988;-35,96365222;-58,98901721;-86,65111427;-99,96081798;-100,0849946;-134,4665083;-160,2839204;-166,7166394;-152,0007285;-164,3398993;-164,2867913;-186,6045286;-205,0970175;-194,9488257;-263,8850144;-239,1870499;-253,0760275;-217,5391685;-270,6819745;-200,3588245;-219,9451407;-233,0330189;-232,1962971;-215,3186487;-209,1711217
Other;Europe;CO2;-99,85621339;-84,2430658;-75,95840126;-71,32854737;-92,98592373;-102,8373252;-102,3083948;-109,1440481;-143,3488629;-198,90041;-140,4625879;-117,4685613;-132,5201102;-157,1136676;-153,8298449;-174,3607121;-195,2552072;-199,398285;-158,0992201;-125,6375456;-141,4402199;-125,7538178;-137,968473;-104,8942828;-113,5236824;-131,7117099;-141,8177074;-142,8121724;-143,5037223;-136,193954;-159,8032695
Other;Latin America and Caribbean;CO2;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;3,8198576;-11,5392552;-11,5392552;-11,5392552;-11,5392552;-11,5392552;-29,748951;-29,748951;-29,748951;-29,748951;-29,748951;-29,748951;-29,748951;-29,748951;-29,748951;-29,748951
Other;Middle East;CO2;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,06854;-1,007384;-1,007384;-1,007384;-1,007384;-1,007384;-1,165386;-1,165386;-1,165386;-1,165386;-1,165386;-1,165386;-1,165386;-1,165386;-1,165386;-1,165386
Other;North America;CO2;-359,3106007;-364,7073182;-341,2006399;-319,7845355;-350,1030639;-308,7310307;-346,608552;-329,7554467;-351,8458203;-353,7037223;-324,9885059;-374,4643994;-340,8564634;-406,4878315;-334,5330196;-381,2670919;-401,7416976;-307,0417127;-222,8790943;-214,7777595;-248,4176528;-261,8217647;-278,3003768;-249,5265713;-277,078398;-208,7974667;-316,4448439;-316,1920271;-285,127973;-246,7251814;-308,6011784
Other;South-East Asia and developing Pacific;CO2;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-43,14924;-40,55064;-40,55064;-40,55064;-40,55064;-40,55064;-15,03944;-15,03944;-15,03944;-15,03944;-15,03944;-15,03944;-15,03944;-15,03944;-15,03944;-15,03944
Other;Southern Asia;CO2;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-139,475;-232,476;-232,476;-232,476;-232,476;-232,476;-232,476;-232,476;-232,476;-232,476;-232,476
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Net;EU27;CO2;-395,3976002;-505,8875252;-499,9329349;-524,302366;-476,3138196;-456,4807265;-471,5942872;-467,7623511;-442,9154092;-524,7606427;-404,7859966;-430,0638652;-453,21961;-428,0775853;-428,6605281;-373,8718028;-446,2276203;-367,0236066;-393,7671612;-458,2171902;-372,4252642;-364,2657202;-373,7691061;-362,4300154;-360,5079619;-359,6040961;-359,2513776;-341,280285;-321,7850561;-279,5325358;-304,4102808
Forest Land;EU27;CO2;-465,6290321;-589,7062912;-584,856485;-595,219837;-541,9726489;-510,4657196;-527,9411376;-490,0488261;-491,41324;-471,7288055;-412,8455073;-455,7884048;-449,2693333;-422,2424411;-402,6500111;-349,948705;-397,3096716;-324,7621604;-396,4924291;-470,1507118;-379,072739;-370,1679787;-377,921175;-375,510584;-361,108412;-354,0306737;-344,8310301;-342,3610623;-294,0848972;-260,3296148;-283,355339
Organic Soil;EU27;CO2;101,4475893;101,2378424;100,5799066;99,80132914;99,00431898;98,4451616;98,26698296;97,59247166;96,783117;96,44088332;97,12176749;96,7394097;96,33064249;96,04849941;95,76939793;96,03707748;95,94418246;95,11208294;94,67741135;94,40308679;93,861502;93,05390318;92,46159468;91,5651375;91,2396225;90,77815624;90,52244713;90,54635635;90,08875563;89,88491004;89,88491004
Deforestation;EU27;CO2;25,7450717;25,22682512;23,73369917;25,43692355;25,13554893;21,69735624;22,40084045;23,78783868;23,30047847;25,70900899;22,57860446;25,55883425;26,64921347;27,94475092;30,69379581;32,88975673;35,38693389;35,80071843;36,00278553;34,98119765;32,70650201;29,82691362;29,50612113;29,31475024;28,98328393;30,6200543;33,0840612;28,45380692;28,46847814;28,82566257;27,72199213
