name,slug,value,date_of_information,ranking,region
"Pakistan","pakistan","15,859,000","2019",140,"South Asia"
"Nicaragua","nicaragua","14,916,000","2019",141,"Central America and the Caribbean"
"Cambodia","cambodia","13,629,000","2019",142,"East and Southeast Asia"
"Gaza Strip","gaza-strip","13,604,000","2019",143,"Middle East"
"West Bank","west-bank","13,604,000","2019",144,"Middle East"
"Mauritania","mauritania","13,558,000","2019",145,"Africa"
"Korea, North","korea-north","12,610,000","2019",146,"East and Southeast Asia"
"Angola","angola","11,693,000","2019",147,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","11,636,000","2019",148,"Africa"
"Zambia","zambia","11,595,000","2019",149,"Africa"
"Zimbabwe","zimbabwe","11,516,000","2019",150,"Africa"
"Papua New Guinea","papua-new-guinea","11,316,000","2019",151,"East and Southeast Asia"
"Ghana","ghana","11,239,000","2019",152,"Africa"
"Vanuatu","vanuatu","10,878,000","2019",153,"Australia and Oceania"
"Burma","burma","10,679,000","2019",154,"East and Southeast Asia"
"Bangladesh","bangladesh","9,917,000","2019",155,"South Asia"
"Kiribati","kiribati","9,335,000","2019",156,"Australia and Oceania"
"Senegal","senegal","9,221,000","2019",157,"Africa"
"Djibouti","djibouti","8,869,000","2019",158,"Africa"
"Benin","benin","8,468,000","2019",159,"Africa"
"Nigeria","nigeria","8,466,000","2019",160,"Africa"
"Cote d'Ivoire","cote-divoire","8,225,000","2019",161,"Africa"
"Mozambique","mozambique","8,107,000","2019",162,"Africa"
"Sudan","sudan","8,047,000","2019",163,"Africa"
"Lesotho","lesotho","7,823,000","2019",164,"Africa"
"Solomon Islands","solomon-islands","6,955,000","2019",165,"Australia and Oceania"
"Kenya","kenya","6,310,000","2019",166,"Africa"
"Cameroon","cameroon","6,187,000","2019",167,"Africa"
"Timor-Leste","timor-leste","5,740,000","2019",168,"East and Southeast Asia"
"Yemen","yemen","5,453,000","2019",169,"Middle East"
"Comoros","comoros","5,346,000","2019",170,"Africa"
"Nepal","nepal","5,219,000","2019",171,"South Asia"
"Mali","mali","4,396,000","2019",172,"Africa"
"Guinea","guinea","4,133,000","2019",173,"Africa"
"Togo","togo","4,113,000","2019",174,"Africa"
"Haiti","haiti","3,970,000","2019",175,"Central America and the Caribbean"
"Liberia","liberia","3,790,000","2019",176,"Africa"
"Gambia, The","gambia-the","3,547,000","2019",177,"Africa"
"Tanzania","tanzania","3,334,000","2019",178,"Africa"
"Burkina Faso","burkina-faso","3,230,000","2019",179,"Africa"
"Afghanistan","afghanistan","3,227,000","2019",180,"South Asia"
"Ethiopia","ethiopia","3,219,000","2019",181,"Africa"
"Eritrea","eritrea","3,217,000","2019",182,"Africa"
"Uganda","uganda","2,943,000","2019",183,"Africa"
"Guinea-Bissau","guinea-bissau","2,460,000","2019",184,"Africa"
"South Sudan","south-sudan","2,404,000","2019",185,"Africa"
"Madagascar","madagascar","2,307,000","2019",186,"Africa"
"Malawi","malawi","1,809,000","2019",187,"Africa"
"Sierra Leone","sierra-leone","1,803,000","2019",188,"Africa"
"Rwanda","rwanda","1,704,000","2019",189,"Africa"
"Chad","chad","1,575,000","2019",190,"Africa"
"Niger","niger","1,540,000","2019",191,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","1,371,000","2019",192,"Africa"
"Central African Republic","central-african-republic","1,121,000","2019",193,"Africa"
"Burundi","burundi","1,087,000","2019",194,"Africa"
"Somalia","somalia","802,000","2019",195,"Africa"
"Northern Mariana Islands","northern-mariana-islands","0","2019",196,"Australia and Oceania"
"Cook Islands","cook-islands","0","2019",197,"Australia and Oceania"
"Montserrat","montserrat","0","2019",198,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","0","2019",199,"Central America and the Caribbean"
"Wake Island","wake-island","0","2019",200,"Australia and Oceania"
"Nauru","nauru","0","2019",201,"Australia and Oceania"
"New Caledonia","new-caledonia","0","2019",202,"Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","0","2019",203,"Australia and Oceania"
"French Polynesia","french-polynesia","0","2019",204,"Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","0","2019",205,"North America"
"Antarctica","antarctica","0","2019",206,"Antarctica"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","0","2019",207,"Africa"
"Tuvalu","tuvalu","0","2019",208,"Australia and Oceania"
"Gibraltar","gibraltar","0","2019",209,"Europe"
"Niue","niue","0","2019",210,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","0","2019",211,"South America"
"Faroe Islands","faroe-islands","0","2019",212,"Europe"
