name,slug,value,date_of_information,ranking,region
"Qatar","qatar","0.66","2021",153,"Middle East"
"Ecuador","ecuador","0.49","2021",154,"South America"
"Bahrain","bahrain","0.4","2021",155,"Middle East"
"Chad","chad","0.3","2021",156,"Africa"
"Bermuda","bermuda","0.1","2021",157,"North America"
"Central African Republic","central-african-republic","-0.24","2021",158,"Africa"
"Comoros","comoros","-0.25","2021",159,"Africa"
"Mozambique","mozambique","-0.42","2019",160,"Africa"
"Nigeria","nigeria","-0.47","2021",161,"Africa"
"Australia","australia","-0.55","2021",162,"Australia and Oceania"
"Barbados","barbados","-0.6","2021",163,"Central America and the Caribbean"
"Moldova","moldova","-0.67","2021",164,"Europe"
"Sudan","sudan","-0.7","2021",165,"Africa"
"Guinea-Bissau","guinea-bissau","-0.7","2020",166,"Africa"
"Ghana","ghana","-0.8","2021",167,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","-0.99","2021",168,"Central America and the Caribbean"
"Egypt","egypt","-1.09","2021",169,"Africa"
"San Marino","san-marino","-1.1","2012",170,"Europe"
"Iraq","iraq","-1.14","2021",171,"Middle East"
"Kiribati","kiribati","-1.57","2020",172,"Australia and Oceania"
"Venezuela","venezuela","-2","2017",173,"South America"
"New Zealand","new-zealand","-2.09","2020",174,"Australia and Oceania"
"Puerto Rico","puerto-rico","-2.1","2017",175,"Central America and the Caribbean"
"Mongolia","mongolia","-2.22","2021",176,"East and Southeast Asia"
"North Macedonia","north-macedonia","-2.37","2021",177,"Europe"
"Haiti","haiti","-2.48","2021",178,"Central America and the Caribbean"
"Malta","malta","-3.3","2016",179,"Europe"
"Cayman Islands","cayman-islands","-3.36","2020",180,"Central America and the Caribbean"
"Palau","palau","-3.42","2021",181,"Australia and Oceania"
"Marshall Islands","marshall-islands","-3.66","2021",182,"Australia and Oceania"
"Solomon Islands","solomon-islands","-3.84","2020",183,"Australia and Oceania"
"Andorra","andorra","-3.9","2020",184,"Europe"
"Brunei","brunei","-4.17","2021",185,"East and Southeast Asia"
"Japan","japan","-4.33","2020",186,"East and Southeast Asia"
"Djibouti","djibouti","-4.43","2020",187,"Africa"
"Isle of Man","isle-of-man","-5.1","2019",188,"Europe"
"Yemen","yemen","-5.23","2018",189,"Middle East"
"Equatorial Guinea","equatorial-guinea","-6.46","2021",190,"Africa"
"Mauritania","mauritania","-6.61","2021",191,"Africa"
"Cuba","cuba","-6.75","2021",192,"Central America and the Caribbean"
"Lebanon","lebanon","-6.85","2021",193,"Middle East"
"Papua New Guinea","papua-new-guinea","-7.5","2020",194,"East and Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","-7.91","2021",195,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","-8.33","2021",196,"Australia and Oceania"
"Fiji","fiji","-8.34","2021",197,"Australia and Oceania"
"Angola","angola","-8.34","2021",198,"Africa"
"Samoa","samoa","-9.65","2021",199,"Australia and Oceania"
"Libya","libya","-10.57","2019",200,"Africa"
"Suriname","suriname","-10.92","2021",201,"South America"
"Kuwait","kuwait","-12.2","2020",202,"Middle East"
"Afghanistan","afghanistan","-14.19","2021",203,"South Asia"
"Syria","syria","-14.77","2020",204,"Middle East"
"Burma","burma","-20.65","2021",205,"East and Southeast Asia"
"Montserrat","montserrat","-21","2017",206,"Central America and the Caribbean"
"Madagascar","madagascar","-21.56","2020",207,"Africa"
"Tuvalu","tuvalu","-26.1","2012",208,"Australia and Oceania"
